Symbol,Name,Sector
A,"Agilent Technologies, Inc.",Healthcare
AAPL,Apple Inc.,Technology
ABBV,AbbVie Inc.,Healthcare
ABNB,"Airbnb, Inc.",Consumer Cyclical
ABT,Abbott Laboratories,Healthcare
ACGL,Arch Capital Group Ltd.,Financial Services
ACN,Accenture plc,Technology
ADBE,Adobe Inc.,Technology
ADI,"Analog Devices, Inc.",Technology
ADM,Archer-Daniels-Midland Company,Consumer Defensive
ADP,"Automatic Data Processing, Inc.",Technology
ADSK,"Autodesk, Inc.",Technology
AEE,Ameren Corporation,Utilities
AEP,American Electric Power Company,Utilities
AES,The AES Corporation,Utilities
AFL,AFLAC Incorporated,Financial Services
AIG,"American International Group, I",Financial Services
AIZ,"Assurant, Inc.",Financial Services
AJG,Arthur J. Gallagher & Co.,Financial Services
AKAM,"Akamai Technologies, Inc.",Technology
ALB,Albemarle Corporation,Basic Materials
ALGN,"Align Technology, Inc.",Healthcare
ALL,Allstate Corporation (The),Financial Services
ALLE,Allegion plc,Industrials
AMAT,"Applied Materials, Inc.",Technology
AMCR,Amcor plc,Consumer Cyclical
AMD,"Advanced Micro Devices, Inc.",Technology
AME,"AMETEK, Inc.",Industrials
AMGN,Amgen Inc.,Healthcare
AMP,"Ameriprise Financial, Inc.",Financial Services
AMT,American Tower Corporation (REI,Real Estate
AMTM,"Amentum Holdings, Inc.",Industrials
AMZN,"Amazon.com, Inc.",Consumer Cyclical
ANET,"Arista Networks, Inc.",Technology
ANSS,"ANSYS, Inc.",Technology
AON,Aon plc,Financial Services
AOS,A.O. Smith Corporation,Industrials
APA,APA Corporation,Energy
APD,"Air Products and Chemicals, Inc",Basic Materials
APH,Amphenol Corporation,Technology
APTV,Aptiv PLC,Consumer Cyclical
ARE,Alexandria Real Estate Equities,Real Estate
ATO,Atmos Energy Corporation,Utilities
AVB,"AvalonBay Communities, Inc.",Real Estate
AVGO,Broadcom Inc.,Technology
AVY,Avery Dennison Corporation,Consumer Cyclical
AWK,"American Water Works Company, I",Utilities
AXON,"Axon Enterprise, Inc.",Industrials
AXP,American Express Company,Financial Services
AZO,"AutoZone, Inc.",Consumer Cyclical
BA,Boeing Company (The),Industrials
BAC,Bank of America Corporation,Financial Services
BALL,Ball Corporation,Consumer Cyclical
BAX,Baxter International Inc.,Healthcare
BBY,"Best Buy Co., Inc.",Consumer Cyclical
BDX,"Becton, Dickinson and Company",Healthcare
BEN,"Franklin Resources, Inc.",Financial Services
BF-B,Brown Forman Inc,Consumer Defensive
BG,Bunge Limited,Consumer Defensive
BIIB,Biogen Inc.,Healthcare
BK,The Bank of New York Mellon Cor,Financial Services
BKNG,Booking Holdings Inc. Common St,Consumer Cyclical
BKR,Baker Hughes Company,Energy
BLDR,"Builders FirstSource, Inc.",Industrials
BLK,"BlackRock, Inc.",Financial Services
BMY,Bristol-Myers Squibb Company,Healthcare
BR,"Broadridge Financial Solutions,",Technology
BRK-B,Berkshire Hathaway Inc. New,Financial Services
BRO,"Brown & Brown, Inc.",Financial Services
BSX,Boston Scientific Corporation,Healthcare
BWA,BorgWarner Inc.,Consumer Cyclical
BX,Blackstone Inc.,Financial Services
BXP,"BXP, Inc.",Real Estate
C,"Citigroup, Inc.",Financial Services
CAG,"ConAgra Brands, Inc.",Consumer Defensive
CAH,"Cardinal Health, Inc.",Healthcare
CARR,Carrier Global Corporation,Industrials
CAT,"Caterpillar, Inc.",Industrials
CB,Chubb Limited,Financial Services
CBOE,"Cboe Global Markets, Inc.",Financial Services
CBRE,CBRE Group Inc,Real Estate
CCI,Crown Castle Inc.,Real Estate
CCL,Carnival Corporation,Consumer Cyclical
CDNS,"Cadence Design Systems, Inc.",Technology
CDW,CDW Corporation,Technology
CE,Celanese Corporation,Basic Materials
CEG,Constellation Energy Corporatio,Utilities
CF,"CF Industries Holdings, Inc.",Basic Materials
CFG,"Citizens Financial Group, Inc.",Financial Services
CHD,"Church & Dwight Company, Inc.",Consumer Defensive
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials
CHTR,"Charter Communications, Inc.",Communication Services
CI,The Cigna Group,Healthcare
CINF,Cincinnati Financial Corporatio,Financial Services
CL,Colgate-Palmolive Company,Consumer Defensive
CLX,Clorox Company (The),Consumer Defensive
CMCSA,Comcast Corporation,Communication Services
CME,CME Group Inc.,Financial Services
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical
CMI,Cummins Inc.,Industrials
CMS,CMS Energy Corporation,Utilities
CNC,Centene Corporation,Healthcare
CNP,"CenterPoint Energy, Inc (Holdin",Utilities
COF,Capital One Financial Corporati,Financial Services
COO,"The Cooper Companies, Inc.",Healthcare
COP,ConocoPhillips,Energy
COR,"Cencora, Inc.",Healthcare
COST,Costco Wholesale Corporation,Consumer Defensive
CPAY,"Corpay, Inc.",Technology
CPB,Campbell Soup Company,Consumer Defensive
CPRT,"Copart, Inc.",Industrials
CPT,Camden Property Trust,Real Estate
CRL,Charles River Laboratories Inte,Healthcare
CRM,"Salesforce, Inc.",Technology
CRWD,"CrowdStrike Holdings, Inc.",Technology
CSCO,"Cisco Systems, Inc.",Technology
CSGP,"CoStar Group, Inc.",Real Estate
CSX,CSX Corporation,Industrials
CTAS,Cintas Corporation,Industrials
CTLT,"Catalent, Inc.",Healthcare
CTRA,Coterra Energy Inc.,Energy
CTSH,Cognizant Technology Solutions ,Technology
CTVA,"Corteva, Inc.",Basic Materials
CVS,CVS Health Corporation,Healthcare
CVX,Chevron Corporation,Energy
CZR,"Caesars Entertainment, Inc.",Consumer Cyclical
D,"Dominion Energy, Inc.",Utilities
DAL,"Delta Air Lines, Inc.",Industrials
DAY,"Dayforce, Inc.",Technology
DD,"DuPont de Nemours, Inc.",Basic Materials
DE,Deere & Company,Industrials
DECK,Deckers Outdoor Corporation,Consumer Cyclical
DELL,Dell Technologies Inc.,Technology
DFS,Discover Financial Services,Financial Services
DG,Dollar General Corporation,Consumer Defensive
DGX,Quest Diagnostics Incorporated,Healthcare
DHI,"D.R. Horton, Inc.",Consumer Cyclical
DHR,Danaher Corporation,Healthcare
DIS,Walt Disney Company (The),Communication Services
DLR,"Digital Realty Trust, Inc.",Real Estate
DLTR,"Dollar Tree, Inc.",Consumer Defensive
DOC,"Healthpeak Properties, Inc.",Real Estate
DOV,Dover Corporation,Industrials
DOW,Dow Inc.,Basic Materials
DPZ,Domino's Pizza Inc,Consumer Cyclical
DRI,"Darden Restaurants, Inc.",Consumer Cyclical
DTE,DTE Energy Company,Utilities
DUK,Duke Energy Corporation (Holdin,Utilities
DVA,DaVita Inc.,Healthcare
DVN,Devon Energy Corporation,Energy
DXCM,"DexCom, Inc.",Healthcare
EA,Electronic Arts Inc.,Communication Services
EBAY,eBay Inc.,Consumer Cyclical
ECL,Ecolab Inc.,Basic Materials
ED,"Consolidated Edison, Inc.",Utilities
EFX,"Equifax, Inc.",Industrials
EG,"Everest Group, Ltd.",Financial Services
EIX,Edison International,Utilities
EL,"Estee Lauder Companies, Inc. (T",Consumer Defensive
ELV,"Elevance Health, Inc.",Healthcare
EMN,Eastman Chemical Company,Basic Materials
EMR,Emerson Electric Company,Industrials
ENPH,"Enphase Energy, Inc.",Technology
EOG,"EOG Resources, Inc.",Energy
EPAM,"EPAM Systems, Inc.",Technology
EQIX,"Equinix, Inc.",Real Estate
EQR,Equity Residential,Real Estate
EQT,EQT Corporation,Energy
ERIE,Erie Indemnity Company,Financial Services
ES,Eversource Energy (D/B/A),Utilities
ESS,"Essex Property Trust, Inc.",Real Estate
ETN,"Eaton Corporation, PLC",Industrials
ETR,Entergy Corporation,Utilities
EVRG,"Evergy, Inc.",Utilities
EW,Edwards Lifesciences Corporatio,Healthcare
EXC,Exelon Corporation,Utilities
EXPD,Expeditors International of Was,Industrials
EXPE,"Expedia Group, Inc.",Consumer Cyclical
EXR,Extra Space Storage Inc,Real Estate
F,Ford Motor Company,Consumer Cyclical
FANG,"Diamondback Energy, Inc.",Energy
FAST,Fastenal Company,Industrials
FCX,"Freeport-McMoRan, Inc.",Basic Materials
FDS,FactSet Research Systems Inc.,Financial Services
FDX,FedEx Corporation,Industrials
FE,FirstEnergy Corp.,Utilities
FFIV,"F5, Inc.",Technology
FI,"Fiserv, Inc.",Technology
FICO,Fair Isaac Corporation,Technology
FIS,Fidelity National Information S,Technology
FITB,Fifth Third Bancorp,Financial Services
FMC,FMC Corporation,Basic Materials
FOX,Fox Corporation,Communication Services
FOXA,Fox Corporation,Communication Services
FRT,Federal Realty Investment Trust,Real Estate
FSLR,"First Solar, Inc.",Technology
FTNT,"Fortinet, Inc.",Technology
FTV,Fortive Corporation,Technology
GD,General Dynamics Corporation,Industrials
GDDY,GoDaddy Inc.,Technology
GE,GE Aerospace,Industrials
GEHC,GE HealthCare Technologies Inc.,Healthcare
GEN,Gen Digital Inc.,Technology
GEV,GE Vernova Inc.,Utilities
GILD,"Gilead Sciences, Inc.",Healthcare
GIS,"General Mills, Inc.",Consumer Defensive
GL,Globe Life Inc.,Financial Services
GLW,Corning Incorporated,Technology
GM,General Motors Company,Consumer Cyclical
GNRC,Generac Holdlings Inc.,Industrials
GOOG,Alphabet Inc.,Communication Services
GOOGL,Alphabet Inc.,Communication Services
GPC,Genuine Parts Company,Consumer Cyclical
GPN,Global Payments Inc.,Industrials
GRMN,Garmin Ltd.,Technology
GS,"Goldman Sachs Group, Inc. (The)",Financial Services
GWW,"W.W. Grainger, Inc.",Industrials
HAL,Halliburton Company,Energy
HAS,"Hasbro, Inc.",Consumer Cyclical
HBAN,Huntington Bancshares Incorpora,Financial Services
HCA,"HCA Healthcare, Inc.",Healthcare
HD,"Home Depot, Inc. (The)",Consumer Cyclical
HES,Hess Corporation,Energy
HIG,Hartford Financial Services Gro,Financial Services
HII,"Huntington Ingalls Industries, ",Industrials
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical
HOLX,"Hologic, Inc.",Healthcare
HON,Honeywell International Inc.,Industrials
HPE,Hewlett Packard Enterprise Comp,Technology
HPQ,HP Inc.,Technology
HRL,Hormel Foods Corporation,Consumer Defensive
HSIC,"Henry Schein, Inc.",Healthcare
HST,"Host Hotels & Resorts, Inc.",Real Estate
HSY,The Hershey Company,Consumer Defensive
HUBB,Hubbell Inc,Industrials
HUM,Humana Inc.,Healthcare
HWM,Howmet Aerospace Inc.,Industrials
IBM,International Business Machines,Technology
ICE,Intercontinental Exchange Inc.,Financial Services
IDXX,"IDEXX Laboratories, Inc.",Healthcare
IEX,IDEX Corporation,Industrials
IFF,International Flavors & Fragran,Basic Materials
INCY,Incyte Corporation,Healthcare
INTC,Intel Corporation,Technology
INTU,Intuit Inc.,Technology
INVH,Invitation Homes Inc.,Real Estate
IP,International Paper Company,Consumer Cyclical
IPG,"Interpublic Group of Companies,",Communication Services
IQV,"IQVIA Holdings, Inc.",Healthcare
IR,Ingersoll Rand Inc.,Industrials
IRM,Iron Mountain Incorporated (Del,Real Estate
ISRG,"Intuitive Surgical, Inc.",Healthcare
IT,"Gartner, Inc.",Technology
ITW,Illinois Tool Works Inc.,Industrials
IVZ,Invesco Ltd,Financial Services
J,Jacobs Solutions Inc.,Industrials
JBHT,"J.B. Hunt Transport Services, I",Industrials
JBL,Jabil Inc.,Technology
JCI,Johnson Controls International ,Industrials
JKHY,"Jack Henry & Associates, Inc.",Technology
JNJ,Johnson & Johnson,Healthcare
JNPR,"Juniper Networks, Inc.",Technology
JPM,JP Morgan Chase & Co.,Financial Services
K,Kellanova,Consumer Defensive
KDP,Keurig Dr Pepper Inc.,Consumer Defensive
KEY,KeyCorp,Financial Services
KEYS,Keysight Technologies Inc.,Technology
KHC,The Kraft Heinz Company,Consumer Defensive
KIM,Kimco Realty Corporation (HC),Real Estate
KKR,KKR & Co. Inc.,Financial Services
KLAC,KLA Corporation,Technology
KMB,Kimberly-Clark Corporation,Consumer Defensive
KMI,"Kinder Morgan, Inc.",Energy
KMX,CarMax Inc,Consumer Cyclical
KO,Coca-Cola Company (The),Consumer Defensive
KR,Kroger Company (The),Consumer Defensive
KVUE,Kenvue Inc.,Consumer Defensive
L,Loews Corporation,Financial Services
LDOS,"Leidos Holdings, Inc.",Technology
LEN,Lennar Corporation,Consumer Cyclical
LH,Labcorp Holdings Inc.,Healthcare
LHX,"L3Harris Technologies, Inc.",Industrials
LIN,Linde plc,Basic Materials
LKQ,LKQ Corporation,Consumer Cyclical
LLY,Eli Lilly and Company,Healthcare
LMT,Lockheed Martin Corporation,Industrials
LNT,Alliant Energy Corporation,Utilities
LOW,"Lowe's Companies, Inc.",Consumer Cyclical
LRCX,Lam Research Corporation,Technology
LULU,lululemon athletica inc.,Consumer Cyclical
LUV,Southwest Airlines Company,Industrials
LVS,Las Vegas Sands Corp.,Consumer Cyclical
LW,"Lamb Weston Holdings, Inc.",Consumer Defensive
LYB,LyondellBasell Industries NV,Basic Materials
LYV,"Live Nation Entertainment, Inc.",Communication Services
MA,Mastercard Incorporated,Financial Services
MAA,Mid-America Apartment Communiti,Real Estate
MAR,Marriott International,Consumer Cyclical
MAS,Masco Corporation,Industrials
MCD,McDonald's Corporation,Consumer Cyclical
MCHP,Microchip Technology Incorporat,Technology
MCK,McKesson Corporation,Healthcare
MCO,Moody's Corporation,Financial Services
MDLZ,"Mondelez International, Inc.",Consumer Defensive
MDT,Medtronic plc.,Healthcare
MET,"MetLife, Inc.",Financial Services
META,"Meta Platforms, Inc.",Communication Services
MGM,MGM Resorts International,Consumer Cyclical
MHK,"Mohawk Industries, Inc.",Consumer Cyclical
MKC,"McCormick & Company, Incorporat",Consumer Defensive
MKTX,"MarketAxess Holdings, Inc.",Financial Services
MLM,"Martin Marietta Materials, Inc.",Basic Materials
MMC,"Marsh & McLennan Companies, Inc",Financial Services
MMM,3M Company,Industrials
MNST,Monster Beverage Corporation,Consumer Defensive
MO,"Altria Group, Inc.",Consumer Defensive
MOH,Molina Healthcare Inc,Healthcare
MOS,Mosaic Company (The),Basic Materials
MPC,Marathon Petroleum Corporation,Energy
MPWR,"Monolithic Power Systems, Inc.",Technology
MRK,"Merck & Company, Inc.",Healthcare
MRNA,"Moderna, Inc.",Healthcare
MRO,Marathon Oil Corporation,Energy
MS,Morgan Stanley,Financial Services
MSCI,MSCI Inc.,Financial Services
MSFT,Microsoft Corporation,Technology
MSI,"Motorola Solutions, Inc.",Technology
MTB,M&T Bank Corporation,Financial Services
MTCH,"Match Group, Inc.",Communication Services
MTD,"Mettler-Toledo International, I",Healthcare
MU,"Micron Technology, Inc.",Technology
NCLH,Norwegian Cruise Line Holdings ,Consumer Cyclical
NDAQ,"Nasdaq, Inc.",Financial Services
NDSN,Nordson Corporation,Industrials
NEE,"NextEra Energy, Inc.",Utilities
NEM,Newmont Corporation,Basic Materials
NFLX,"Netflix, Inc.",Communication Services
NI,NiSource Inc,Utilities
NKE,"Nike, Inc.",Consumer Cyclical
NOC,Northrop Grumman Corporation,Industrials
NOW,"ServiceNow, Inc.",Technology
NRG,"NRG Energy, Inc.",Utilities
NSC,Norfolk Southern Corporation,Industrials
NTAP,"NetApp, Inc.",Technology
NTRS,Northern Trust Corporation,Financial Services
NUE,Nucor Corporation,Basic Materials
NVDA,NVIDIA Corporation,Technology
NVR,"NVR, Inc.",Consumer Cyclical
NWS,News Corporation,Communication Services
NWSA,News Corporation,Communication Services
NXPI,NXP Semiconductors N.V.,Technology
O,Realty Income Corporation,Real Estate
ODFL,"Old Dominion Freight Line, Inc.",Industrials
OKE,"ONEOK, Inc.",Energy
OMC,Omnicom Group Inc.,Communication Services
ON,ON Semiconductor Corporation,Technology
ORCL,Oracle Corporation,Technology
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical
OTIS,Otis Worldwide Corporation,Industrials
OXY,Occidental Petroleum Corporatio,Energy
PANW,"Palo Alto Networks, Inc.",Technology
PARA,Paramount Global,Communication Services
PAYC,"Paycom Software, Inc.",Technology
PAYX,"Paychex, Inc.",Technology
PCAR,PACCAR Inc.,Industrials
PCG,Pacific Gas & Electric Co.,Utilities
PEG,Public Service Enterprise Group,Utilities
PEP,"Pepsico, Inc.",Consumer Defensive
PFE,"Pfizer, Inc.",Healthcare
PFG,Principal Financial Group Inc,Financial Services
PG,Procter & Gamble Company (The),Consumer Defensive
PGR,Progressive Corporation (The),Financial Services
PH,Parker-Hannifin Corporation,Industrials
PHM,"PulteGroup, Inc.",Consumer Cyclical
PKG,Packaging Corporation of Americ,Consumer Cyclical
PLD,"Prologis, Inc.",Real Estate
PLTR,Palantir Technologies Inc.,Technology
PM,Philip Morris International Inc,Consumer Defensive
PNC,"PNC Financial Services Group, I",Financial Services
PNR,Pentair plc.,Industrials
PNW,Pinnacle West Capital Corporati,Utilities
PODD,Insulet Corporation,Healthcare
POOL,Pool Corporation,Industrials
PPG,"PPG Industries, Inc.",Basic Materials
PPL,PPL Corporation,Utilities
PRU,"Prudential Financial, Inc.",Financial Services
PSA,Public Storage,Real Estate
PSX,Phillips 66,Energy
PTC,PTC Inc.,Technology
PWR,"Quanta Services, Inc.",Industrials
PYPL,"PayPal Holdings, Inc.",Financial Services
QCOM,QUALCOMM Incorporated,Technology
QRVO,"Qorvo, Inc.",Technology
RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical
REG,Regency Centers Corporation,Real Estate
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare
RF,Regions Financial Corporation,Financial Services
RJF,"Raymond James Financial, Inc.",Financial Services
RL,Ralph Lauren Corporation,Consumer Cyclical
RMD,ResMed Inc.,Healthcare
ROK,"Rockwell Automation, Inc.",Industrials
ROL,"Rollins, Inc.",Consumer Cyclical
ROP,"Roper Technologies, Inc.",Technology
ROST,"Ross Stores, Inc.",Consumer Cyclical
RSG,"Republic Services, Inc.",Industrials
RTX,RTX Corporation,Industrials
RVTY,"Revvity, Inc.",Healthcare
SBAC,SBA Communications Corporation,Real Estate
SBUX,Starbucks Corporation,Consumer Cyclical
SCHW,Charles Schwab Corporation (The,Financial Services
SHW,Sherwin-Williams Company (The),Basic Materials
SJM,The J.M. Smucker Company,Consumer Defensive
SLB,Schlumberger N.V.,Energy
SMCI,"Super Micro Computer, Inc.",Technology
SNA,Snap-On Incorporated,Industrials
SNPS,"Synopsys, Inc.",Technology
SO,Southern Company (The),Utilities
SOLV,Solventum Corporation,Healthcare
SPG,"Simon Property Group, Inc.",Real Estate
SPGI,S&P Global Inc.,Financial Services
SRE,DBA Sempra,Utilities
STE,STERIS plc (Ireland),Healthcare
STLD,"Steel Dynamics, Inc.",Basic Materials
STT,State Street Corporation,Financial Services
STX,Seagate Technology Holdings PLC,Technology
STZ,"Constellation Brands, Inc.",Consumer Defensive
SW,Smurfit WestRock plc,Consumer Cyclical
SWK,"Stanley Black & Decker, Inc.",Industrials
SWKS,"Skyworks Solutions, Inc.",Technology
SYF,Synchrony Financial,Financial Services
SYK,Stryker Corporation,Healthcare
SYY,Sysco Corporation,Consumer Defensive
T,AT&T Inc.,Communication Services
TAP,Molson Coors Beverage Company,Consumer Defensive
TDG,Transdigm Group Incorporated,Industrials
TDY,Teledyne Technologies Incorpora,Technology
TECH,Bio-Techne Corp,Healthcare
TEL,TE Connectivity plc,Technology
TER,"Teradyne, Inc.",Technology
TFC,Truist Financial Corporation,Financial Services
TFX,Teleflex Incorporated,Healthcare
TGT,Target Corporation,Consumer Defensive
TJX,"TJX Companies, Inc. (The)",Consumer Cyclical
TMO,Thermo Fisher Scientific Inc,Healthcare
TMUS,"T-Mobile US, Inc.",Communication Services
TPR,"Tapestry, Inc.",Consumer Cyclical
TRGP,"Targa Resources, Inc.",Energy
TRMB,Trimble Inc.,Technology
TROW,"T. Rowe Price Group, Inc.",Financial Services
TRV,"The Travelers Companies, Inc.",Financial Services
TSCO,Tractor Supply Company,Consumer Cyclical
TSLA,"Tesla, Inc.",Consumer Cyclical
TSN,"Tyson Foods, Inc.",Consumer Defensive
TT,Trane Technologies plc,Industrials
TTWO,"Take-Two Interactive Software, ",Communication Services
TXN,Texas Instruments Incorporated,Technology
TXT,Textron Inc.,Industrials
TYL,"Tyler Technologies, Inc.",Technology
UAL,"United Airlines Holdings, Inc.",Industrials
UBER,"Uber Technologies, Inc.",Technology
UDR,"UDR, Inc.",Real Estate
UHS,"Universal Health Services, Inc.",Healthcare
ULTA,"Ulta Beauty, Inc.",Consumer Cyclical
UNH,UnitedHealth Group Incorporated,Healthcare
UNP,Union Pacific Corporation,Industrials
UPS,"United Parcel Service, Inc.",Industrials
URI,"United Rentals, Inc.",Industrials
USB,U.S. Bancorp,Financial Services
V,Visa Inc.,Financial Services
VICI,VICI Properties Inc.,Real Estate
VLO,Valero Energy Corporation,Energy
VLTO,Veralto Corp,Industrials
VMC,Vulcan Materials Company (Holdi,Basic Materials
VRSK,"Verisk Analytics, Inc.",Industrials
VRSN,"VeriSign, Inc.",Technology
VRTX,Vertex Pharmaceuticals Incorpor,Healthcare
VST,Vistra Corp.,Utilities
VTR,"Ventas, Inc.",Real Estate
VTRS,Viatris Inc.,Healthcare
VZ,Verizon Communications Inc.,Communication Services
WAB,Westinghouse Air Brake Technolo,Industrials
WAT,Waters Corporation,Healthcare
WBA,"Walgreens Boots Alliance, Inc.",Healthcare
WBD,"Warner Bros. Discovery, Inc. - ",Communication Services
WDC,Western Digital Corporation,Technology
WEC,"WEC Energy Group, Inc.",Utilities
WELL,Welltower Inc.,Real Estate
WFC,Wells Fargo & Company,Financial Services
WM,"Waste Management, Inc.",Industrials
WMB,"Williams Companies, Inc. (The)",Energy
WMT,Walmart Inc.,Consumer Defensive
WRB,W.R. Berkley Corporation,Financial Services
WST,"West Pharmaceutical Services, I",Healthcare
WTW,Willis Towers Watson Public Lim,Financial Services
WY,Weyerhaeuser Company,Real Estate
WYNN,"Wynn Resorts, Limited",Consumer Cyclical
XEL,Xcel Energy Inc.,Utilities
XOM,Exxon Mobil Corporation,Energy
XYL,Xylem Inc.,Industrials
YUM,"Yum! Brands, Inc.",Consumer Cyclical
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare
ZBRA,Zebra Technologies Corporation,Technology
ZTS,Zoetis Inc.,Healthcare